"WHRS";"KL6";"K618";"WA";"WE";"WW";"HHRS";"HA";"HE";"HW";"MTR";"WMED";"WFED";"UN";"CIT";"AX"
1610;1;0;32;12;3,354;2708;34;12;4,0288;0,7215;12;7;5;0;14
1656;0;2;30;12;1,3889;2310;30;9;8,4416;0,6615;7;7;11;1;5
1980;1;3;35;12;4,5455;3072;40;12;3,5807;0,6915;12;7;5;0;15
456;0;3;34;12;1,0965;1920;53;10;3,5417;0,7815;7;7;5;0;6
1568;1;2;31;14;4,5918;2000;32;12;10;0,6215;12;14;9,5;1;7
2032;0;0;54;12;4,7421;1040;57;11;6,7106;0,6915;14;7;7,5;1;33
1440;0;2;37;16;8,3333;2670;37;12;3,4277;0,6915;14;7;5;0;11
1020;0;0;54;12;7,8431;4120;53;8;2,5485;0,6915;3;3;5;0;35
1458;0;2;48;12;2,1262;1995;52;4;4,2206;0,7515;7;7;3;0;24
1600;0;2;39;12;4,6875;2100;43;12;5,7143;0,6915;7;7;5;0;21
1969;0;1;33;12;4,063;2450;34;12;9,7959;0,5815;12;3;5;0;15
1960;0;1;42;11;4,5918;2375;47;14;8;0,6215;14;7;5;0;14
240;1;2;30;12;2,0833;2830;33;16;5,3004;0,7215;16;16;5;0;0
997;0;2;43;12;2,2668;3317;46;12;4,3413;0,7215;10;10;7,5;1;14
1848;0;1;43;10;3,6797;2024;45;17;10,87;0,5815;7;7;7,5;1;6
1224;0;3;35;11;1,3472;1694;38;12;9,1499;0,7215;16;10;7,5;1;9
1400;0;2;43;12;3,2143;2156;45;12;6,1224;0,6915;10;7;7,5;1;20
640;0;5;39;12;5,175;2250;40;12;6,1498;0,7215;12;12;7,5;1;6
2000;0;0;45;12;2;2024;51;11;6,917;0,6915;7;7;5;1;23
1324;0;4;35;12;7,5529;2123;40;10;4,7103;0,6915;12;7;5;0;9
2215;0;2;42;16;3,5052;4160;48;16;3,131;0,6215;10;16;7,5;0;5
1680;0;0;30;12;3,5714;2000;35;12;4;0,7215;12;10;3;0;11
1600;0;0;48;13;3,25;2420;52;17;7,2227;0,6615;7;3;5;1;18
800;0;0;45;12;3,25;1150;53;17;7,9652;0,7215;7;7;11;0;15
1955;1;1;31;12;2,1545;2024;31;12;4,0884;0,7515;12;7;5;1;4
660;0;2;43;17;3,7879;1904;43;17;14,181;0,5815;16;14;9,5;1;21
525;0;0;59;12;4;2448;53;16;6,5359;0,6915;3;7;9,5;1;31
1904;0;3;32;12;4,7269;2000;33;13;8,5;0,6615;3;7;11;1;9
1516;1;0;31;17;7,2559;2390;30;17;6,2762;0,6215;12;12;5;0;7
346;0;0;42;12;5,8671;1920;47;10;5,2083;0,7215;12;12;9,5;0;7
1040;0;0;50;11;1,5385;1840;53;10;2,7821;0,7515;7;7;7,5;1;32
732;0;0;59;16;2,459;3360;57;17;4,9107;0,6915;3;3;14;1;11
1880;0;2;36;13;5,8511;2284;35;13;5,8669;0,6615;12;10;7,5;0;16
1680;0;1;51;12;3,5714;1875;50;8;7,52;0,6915;7;14;5;1;14
2081;0;3;45;16;3,8068;2140;47;17;7,5449;0,6615;12;12;5;1;27
690;0;1;42;11;2,4638;1896;44;8;5,538;0,7515;10;3;7,5;0;0
4210;0;0;46;12;2,3753;1040;49;16;6,9231;0,6915;3;3;11;1;17
2205;0;1;46;10;4,5351;2200;52;12;5;0,6615;10;3;11;0;28
1952;0;0;51;14;5,6183;1952;58;12;7,3064;0,6215;7;7;14;0;24
1302;0;0;30;17;14,631;1560;30;17;11,218;0,58;14;17;5;1;11
112;1;2;30;12;2,6786;4030;33;16;3,8462;0,7215;12;12;3;0;1
893;0;0;57;12;3,9194;2570;58;12;5,8366;0,6215;9;9;7,5;1;14
583;1;2;31;16;2,5729;1530;34;16;13,725;0,6615;14;16;9,5;1;6
480;0;2;48;12;4,5375;3149;48;8;6,3493;0,6615;3;3;5;0;10
1900;0;3;30;12;2;2690;32;12;5,2528;0,7215;12;7;5;0;6
576;0;2;34;12;3,4722;3096;33;12;1,3075;0,7815;12;7;3;0;4
2056;0;2;48;16;2,0161;2552;53;16;2,7998;0,7215;14;16;5;1;10
1984;0;0;45;12;4,5716;2040;47;11;2,6961;0,7215;10;10;11;0;22
2640;0;0;51;12;2,2727;2180;50;13;7,5688;0,6615;7;7;3;0;16
240;0;2;30;12;2,6375;1864;37;12;3,4077;0,7815;12;7;14;0;6
1173;0;1;46;12;2,2899;2068;46;12;6,5401;0,6915;7;7;11;1;12
3640;0;0;58;12;1,0989;2010;58;12;7,2139;0,6915;7;3;9,5;1;32
340;0;8;37;12;1,1765;2152;40;10;6,2732;0,7515;12;7;5;0;15
500;0;0;52;8;1,6;1496;54;11;5,8824;0,7515;7;7;5;1;17
1599;0;0;52;10;1,8762;2100;47;4;3,8095;0,7515;7;3;7,5;0;34
1830;0;0;31;16;4,0437;1960;35;14;6,3776;0,6915;12;12;7,5;1;9
1920;0;0;55;14;9,6354;1985;55;15;6,0453;0,64;7;7;14;1;37
2052;0;0;34;17;8,0409;2020;33;17;8,8119;0,58;17;17;7,5;1;10
2312;0;0;55;14;4,599;2178;56;16;8,8765;0,5815;17;7;11;1;35
196;0;2;39;12;2,1429;3684;39;12;3,342;0,7515;12;7;14;1;6
2500;0;3;40;14;4,4;5010;42;13;3,1836;0,5515;14;3;7,5;0;19
1980;0;4;43;12;3,5354;1880;47;12;6,9149;0,6915;12;12;9,5;1;10
1840;0;0;48;8;2,7174;1904;56;8;5,5147;0,7215;7;7;14;1;11
320;0;0;47;12;6,25;2083;47;12;5,2808;0,7215;7;7;9,5;1;15
419;0;4;41;12;11,933;2125;44;12;3,2;0,7515;7;7;5;1;12
1880;0;0;36;8;3,5931;1985;37;12;5,8791;0,6915;12;12;7,5;0;12
72;0;2;46;17;6,9444;2640;48;17;6,25;0,6915;12;16;7,5;0;14
120;0;0;34;12;2,9167;2070;51;8;7,4879;0,7215;12;7;5;1;11
1885;0;3;41;12;3,0769;2107;48;8;6,9767;0,6915;7;7;5;1;9
240;0;1;51;12;3,75;2250;54;10;8;0,6915;12;7;5;0;24
1729;0;0;33;12;5,7259;2880;34;16;4,1319;0,6915;12;12;7,5;1;12
1850;0;0;52;12;3,6757;1848;53;12;14,476;0,5515;10;10;7,5;1;13
2033;0;0;58;9;5,1648;1927;53;7;5,7343;0,6615;7;9;7,5;1;29
608;2;4;34;10;8,2237;1304;38;9;3,3742;0,7915;0;0;7,5;1;11
1153;0;1;31;12;4,3365;3000;35;12;1,8333;0,7215;7;10;7,5;1;13
2208;0;1;48;12;4,9819;1892;52;12;5,6025;0,6615;12;14;5;1;19
252;0;2;32;12;0,3571;3644;32;12;4,2975;0,7215;7;7;3;0;2
337;0;0;49;17;2,9674;1430;47;17;3,9161;0,7515;3;3;14;1;24
90;2;2;32;15;1;2350;31;14;4,8787;0,7515;10;12;7,5;1;9
1174;0;0;58;12;2,5554;1948;59;16;9,2402;0,6615;7;12;7,5;1;6
372;0;0;50;6;0,8602;1804;42;12;6,6519;0,7215;12;7;7,5;1;22
30;0;0;60;14;1;2326;51;12;4,6217;0,7515;12;17;9,5;0;30
1800;0;1;50;12;2,9261;1739;55;11;9,9741;0,6615;7;3;7,5;1;10
282;0;0;56;14;3,5461;1176;57;17;20,918;0,6215;7;7;9,5;1;6
720;0;0;51;9;1,6264;1100;55;8;1,94;0,7915;7;7;3;0;29
1440;0;1;54;17;8,3333;1528;58;17;8,8351;0,5815;7;12;5;1;29
2100;0;0;59;13;3,0952;2250;52;15;4,6667;0,6915;7;7;5;1;36
1000;0;2;46;9;2,7;1927;47;10;5,1894;0,7515;7;7;5;1;19
952;0;1;46;15;5,2521;2414;47;16;18,724;0,4415;7;12;5;1;8
1413;1;3;39;12;1,4154;768;49;8;10,417;0,7715;10;10;14;0;13
2100;0;2;44;12;4,7986;1984;43;14;8,8458;0,6215;7;0;11;1;16
120;2;0;33;12;1,6667;2246;36;12;7,569;0,7215;12;12;9,5;1;11
3000;1;2;33;12;1,1217;3024;30;17;4,4507;0,6215;10;10;7,5;1;15
1000;0;2;48;12;0,5;2921;52;12;9,3204;0,6215;12;7;9;1;6
336;0;4;31;12;0,7143;2045;37;17;9,1687;0,6915;7;7;11;0;13
1216;0;1;45;12;2,7961;1928;44;12;6,4834;0,7215;7;7;11;0;22
988;0;1;45;12;4,8583;1920;44;10;7,8125;0,6915;7;3;5;1;24
2581;0;2;32;13;1,7435;2280;37;17;11,404;0,5815;14;12;7,5;1;2
2030;0;0;47;12;2,4631;2300;47;17;5,087;0,6915;7;7;3;0;6
413;0;2;34;13;2,4213;2480;35;13;6,9758;0,6215;12;12;3;0;2
782;0;1;37;12;1,5345;1135;34;10;5,2863;0,7715;12;7;9,5;1;2
1388;0;1;36;12;2,8818;1384;39;12;11,562;0,6615;7;7;11;0;14
1450;1;2;47;12;2,4069;1848;50;14;8,6061;0,6915;7;10;9,5;1;9
1720;0;1;48;16;5,2326;2499;46;17;12,805;0,4415;14;14;7,5;1;11
800;0;2;42;12;3,75;2390;43;12;6,6946;0,6915;12;7;11;0;9
360;0;3;33;13;1,3889;2400;44;14;8,3333;0,6915;10;12;11;1;6
2000;0;0;46;11;4;1920;53;8;4,1667;0,6915;7;7;5;0;19
1176;0;3;47;12;3,2313;2301;48;13;5,4759;0,7215;7;7;9,5;0;26
2058;0;1;44;12;3,4014;1944;43;10;5,144;0,6915;7;10;9,5;1;19
900;0;4;36;12;1,3333;2100;37;17;11,667;0,6615;7;7;7,5;1;3
215;2;0;31;17;9,3023;1920;32;16;7,2917;0,7215;12;12;7,5;1;7
2000;0;0;55;14;4,5;2880;55;14;4,8611;0,6615;7;7;9,5;1;28
757;0;1;45;16;4,6235;1932;48;16;12,164;0,6215;12;7;9,5;1;13
1264;0;0;47;17;3,9557;3234;48;17;10,823;0,4615;10;17;9,5;1;9
2064;0;3;46;12;5,814;2805;47;12;12,478;0,4615;10;7;14;1;15
1280;0;0;49;11;0,5;2272;52;9;6,162;0,7215;7;7;7,5;1;20
1715;0;0;49;12;4,0816;2227;52;14;7,1846;0,6615;7;7;9,5;1;29
2000;0;2;45;12;6;1720;49;6;7,093;0,6215;7;10;14;1;9
12;1;3;38;17;3,6667;2300;38;13;17,826;0,4415;12;10;14;1;1
1528;0;0;47;10;3,8613;3410;50;12;6,393;0,5815;7;12;14;1;8
561;0;3;54;13;2,7629;2304;57;16;11,719;0,5515;7;7;9,5;1;19
2058;0;0;41;11;2,931;1984;42;12;4,7883;0,7215;12;12;7,5;0;23
1823;0;2;43;12;4,3884;1890;33;14;4,2328;0,7515;14;7;11;0;3
1680;1;1;31;16;5,4167;1970;32;12;7,1066;0,6615;12;10;7,5;0;13
1440;0;0;47;17;9,8611;2400;46;12;8,3333;0,61;7;7;7,5;1;8
4950;0;2;35;12;0,1616;2504;37;12;6,9888;0,6915;10;10;7,5;0;17
1176;0;3;45;16;0,3826;2398;48;17;9,5913;0,6615;7;7;11;1;4
1100;1;0;33;12;3,6364;1960;39;12;6,0204;0,7215;7;7;7,5;0;15
1516;0;1;54;16;2,3747;2550;55;12;2,9686;0,7215;12;7;3;0;11
900;0;4;35;8;4,6667;2500;41;12;7;0,6915;10;7;9,5;0;7
1080;1;2;31;12;1,8519;2164;37;10;7,1627;0,7215;7;7;7,5;0;0
480;0;0;55;12;5,2;2640;60;12;4,7364;0,6915;7;7;7,5;0;0
288;0;2;34;12;3,2986;1936;36;12;8,781;0,6915;12;16;11;1;10
1875;0;1;38;13;8,5333;2136;41;12;9,8315;0,58;10;12;7,5;1;8
630;0;1;45;11;2,0635;1955;51;10;6,6496;0,7215;7;7;7,5;1;2
234;0;1;47;12;2,5641;1980;48;10;9,8485;0,6615;12;3;7,5;1;4
1600;0;2;39;12;2,1875;2550;42;11;9,8039;0,6215;7;7;5;1;6
960;1;0;36;14;6,25;2058;37;13;8,2604;0,6615;7;7;11;1;18
120;1;2;33;12;3,3333;2263;32;14;9,0676;0,6915;7;7;9;1;3
2025;0;0;50;12;4,4444;1763;54;13;8,5082;0,6215;7;12;5;1;22
1809;0;0;58;12;6,6335;2096;59;14;7,1565;0,6215;3;7;7,5;1;33
3087;0;0;49;17;8,4224;2059;47;13;7,0423;0,52;12;12;11;1;28
910;0;2;41;14;4,3956;1820;40;17;6,5934;0,7215;16;12;14;1;23
1840;0;1;51;12;2,4457;2832;53;8;4,3457;0,6915;7;14;11;0;27
784;0;0;53;9;1,2245;1990;60;10;7,2362;0,7215;3;7;14;1;11
400;1;2;36;12;1,625;2000;40;7;1,74;0,8015;12;7;11;1;6
1000;0;2;46;12;3;1885;46;12;6,8966;0,7215;7;7;9,5;1;11
1904;0;2;36;12;4,7269;2860;37;12;5,0455;0,5515;12;12;11;1;14
1771;0;1;53;14;1,1293;1913;48;16;17,25;0,4915;12;12;14;1;17
1486;0;3;40;16;7,4024;1800;54;16;8,3333;0,6215;16;14;11;1;17
740;0;2;42;17;4,4595;2880;45;16;9,375;0,5815;12;10;9;0;14
1820;1;1;33;15;2,4725;1993;32;16;8,279;0,6915;12;12;11;1;11
1275;0;3;43;12;1,8824;2250;47;14;4,5;0,6915;7;7;7,5;1;7
450;1;0;31;16;4;2286;30;16;4,1995;0,7215;14;16;14;1;8
1221;0;0;47;17;8,19;1880;47;16;16,064;0,4915;7;7;7,5;1;6
1550;0;0;54;17;7,0968;2350;58;17;11,277;0,5215;10;17;11;1;8
180;1;3;33;12;1,6667;3640;33;11;0,5494;0,9415;7;3;3;0;4
2090;0;0;43;16;3,445;1770;47;14;9,548;0,6215;14;10;11;1;25
1960;0;1;46;13;4,2347;1875;49;13;5,3333;0,6915;7;9;3;0;24
1440;0;3;35;12;2,7778;2200;38;9;5,4545;0,7215;7;7;14;1;11
794;0;3;37;11;1,8892;2033;39;12;5,9026;0,7515;12;3;9,5;1;19
993;0;2;37;16;5,0352;2739;39;17;9,8576;0,5815;12;16;14;1;9
160;0;3;34;14;1,25;1626;38;14;11,685;0,7215;17;12;7,5;1;19
105;1;0;43;16;2,8571;2248;44;17;6,2278;0,7215;7;7;9,5;0;14
1200;0;0;46;12;4,1167;2140;48;12;9,1748;0,6215;7;7;9,5;1;22
450;0;3;35;9;1,7778;1985;42;12;6,2972;0,7515;3;7;5;1;6
996;0;0;46;17;13,554;1528;59;17;10,471;0,5815;12;12;9,5;1;23
1052;0;0;46;14;4,5627;1920;48;16;14,583;0,4915;7;3;11;1;15
1128;0;2;43;12;2,1277;1918;46;10;6,2143;0,7215;7;7;14;1;6
1840;0;0;30;12;2,9891;2112;30;12;6,6288;0,6915;7;7;7,5;0;11
1910;0;2;41;11;2,5654;2144;46;9;3,8246;0,7215;3;7;5;0;2
980;0;1;54;12;5,6122;1920;54;15;7,8125;0,6915;7;7;14;1;22
2317;0;1;31;12;2,8054;2241;41;9;3,4806;0,7215;10;10;7,5;1;10
1089;0;0;44;10;1,607;880;47;11;5,55;0,7515;10;10;9,5;1;14
800;0;1;32;12;2,25;2070;31;16;11,594;0,6215;12;7;11;1;12
1230;0;0;47;5;2,0325;1050;53;5;9,5238;0,7215;7;12;14;1;9
1158;0;1;46;17;5,532;2635;57;17;7,2805;0,6215;14;17;7,5;0;13
2272;0;0;37;11;1,5845;3000;47;8;3;0,7215;10;10;7,5;0;18
528;0;2;51;12;3,7879;2500;50;11;10,4;0,6215;7;7;7,5;0;8
1000;0;1;49;12;3;1990;49;12;10,05;0,6615;7;7;14;1;11
520;0;4;36;14;8,6538;2390;37;13;8,7866;0,6615;10;12;9,5;1;9
760;0;1;39;11;4,2105;1430;44;12;10,14;0,6915;12;7;9,5;1;9
1920;0;2;48;12;4,6875;1800;50;8;5;0,6915;12;12;9,5;1;14
1220;0;2;38;14;4,0984;2103;43;17;11,888;0,5815;7;7;5;1;9
200;0;2;40;12;25;1350;42;12;13,333;0,6615;7;7;7,5;1;2
2480;1;5;39;10;2,6331;2880;36;17;8,6806;0,5815;7;7;3;0;12
2750;0;0;37;16;6;2400;43;17;7,2917;0,61;12;7;7,5;1;15
2014;0;1;49;13;5,4126;1135;47;12;3,5242;0,7215;7;14;14;1;11
1355;0;3;33;12;0,6642;2750;35;17;6,1818;0,7215;12;7;9,5;0;7
80;0;0;30;12;1,25;2085;32;16;2,9755;0,7515;12;12;11;1;9
1670;0;0;54;12;2,2754;2600;56;8;4,5769;0,7215;12;7;9,5;0;19
520;0;4;39;11;3,4615;3542;40;12;3,1056;0,7515;10;7;11;0;11
288;0;3;43;12;4,1667;1975;43;12;5,8228;0,7515;12;12;14;1;8
2014;0;3;31;9;4,4687;2400;32;12;7,5;0,6215;10;3;9,5;1;13
800;0;3;33;13;1,75;3000;37;14;8,3333;0,6215;12;7;7,5;1;4
1984;0;3;40;12;3,6694;1960;39;14;9,2347;0,6615;12;12;14;1;7
1823;0;1;36;12;6,5826;2000;39;9;5,5;0,6615;12;12;3;0;19
1500;0;0;51;12;2,6;3000;51;12;6;0,6615;7;7;9,5;1;14
2261;0;1;44;13;4,8651;2400;43;12;6,6667;0,6215;12;7;9,5;1;14
1728;0;3;42;16;5,787;2450;48;14;13,061;0,5215;12;14;9,5;1;3
1960;0;1;40;12;4,5408;2423;40;8;12,794;0,5215;12;12;7,5;1;9
1578;1;1;34;16;9,5057;2000;33;16;12;0,58;12;17;9,5;1;7
1316;0;0;30;17;10,638;2526;41;16;6,73;0,5815;16;17;11;1;7
1530;0;0;54;12;1,1111;2695;53;12;6,679;0,6915;7;7;14;0;14
2220;0;0;51;12;4,0541;2048;54;12;4,3945;0,6915;16;7;3;0;29
1336;0;2;44;9;2,6871;1920;46;11;4,6875;0,7515;7;10;11;0;19
1008;0;1;43;12;2,9762;2338;42;9;7,6989;0,6615;7;7;11;1;14
1944;0;1;34;12;3,1728;2945;37;8;4,3287;0,6915;10;7;7,5;0;16
2000;0;0;45;13;3,55;2047;52;12;6,7416;0,6615;12;7;11;1;10
258;0;0;39;12;17,907;1668;47;7;9,3525;0,6215;10;3;11;0;12
1785;0;0;50;12;3,4174;175;48;10;9,1429;0,7515;0;0;14;1;24
480;0;0;52;12;3,3333;1798;53;12;2,6418;0,7515;7;7;14;0;6
772;0;2;41;12;3,886;1222;45;12;7,365;0,7215;12;12;7,5;1;9
900;0;0;59;10;2,3111;1820;59;7;1,4066;0,7715;12;7;5;0;14
1428;0;0;52;12;1,7108;1560;60;8;1,5192;0,7715;10;7;14;0;26
210;0;0;46;16;2,1143;2210;49;12;3,3439;0,7515;12;12;14;0;7
239;1;5;41;12;9,9331;2874;48;16;2,9106;0,7215;3;7;11;1;4
1878;0;2;33;11;3,0277;2499;35;8;4,3834;0,7215;7;7;9,5;0;15
215;0;0;45;12;1,8605;3088;38;12;4,2098;0,7215;12;12;5;1;23
2340;1;2;36;10;0,1282;2020;37;8;3,7129;0,7815;10;7;7,5;0;1
1960;0;1;48;12;6,6327;1980;56;10;10,606;0,5515;7;7;14;1;29
532;0;1;47;12;5,6391;1968;47;11;8,6382;0,6615;7;3;11;1;9
394;0;0;45;12;1,599;2100;45;12;3,8367;0,7515;7;7;7,5;0;6
675;0;2;37;12;2,6667;2651;48;17;7,1671;0,6915;7;7;7,5;0;11
1515;0;4;46;16;7,9208;1918;49;14;8,8634;0,6215;12;10;14;1;17
1030;0;3;43;17;5,3398;2585;46;16;7,7369;0,6615;12;12;5;1;6
1250;0;2;42;12;4;2250;46;17;9,1702;0,6215;7;7;7,5;1;7
1158;1;2;34;17;6,0449;2480;39;17;11,29;0,5515;12;12;7,5;1;2
112;0;0;52;12;6,25;2924;53;12;6,3269;0,5815;7;7;7,5;1;24
336;0;3;37;12;2,9762;1896;52;9;4,7468;0,7515;10;7;7,5;0;4
1984;0;1;37;12;4,2339;2332;40;12;4,8885;0,6915;10;7;5;0;11
716;0;0;52;8;3,4916;3482;59;7;2,4842;0,7215;7;7;5;0;25
1410;1;0;30;12;4,9645;2106;30;14;8,547;0,6215;12;12;7,5;0;11
1300;0;1;31;13;2,7692;1160;32;12;6,6379;0,7515;17;7;11;1;2
1640;0;1;38;12;3,6585;2040;46;12;3,1863;0,7215;7;7;7,5;0;19
1202;0;3;43;12;5,3935;2856;48;16;4,5466;0,5815;7;7;9;1;7
